ward_code,ward_name,pt_accessibility_2013,Homes _os_access_2013
E05000233,Chatham,14.14311893,-1.821949012
E05000234,Clissold,-1.013081376,-2.130629708
E05000235,Dalston,15.61203743,-2.823277493
E05000236,De Beauvoir,7.897831672,-0.408419991
E05000237,Hackney Central,21.15990992,-9.085438107
E05000238,Hackney Downs,12.28487739,-0.750356387
E05000239,Haggerston,13.80386755,-3.968788094
E05000240,Hoxton,14.66528542,-1.333557574
E05000241,King's Park,-6.592604557,24.86748403
E05000242,Leabridge,3.769048465,-5.507261103
E05000243,Lordship,-0.773239955,-1.074434372
E05000244,New River,9.068798847,-1.838531675
E05000245,Queensbridge,7.148289807,-3.205450519
E05000246,Springfield,-3.846864215,-3.534290716
E05000247,Stoke Newington Central,10.57892685,-2.905276785
E05000248,Victoria,6.542609391,0.073973246
E05000249,Wick,1.226260283,17.18862254
E05000250,Addison,19.64609267,-14.6351198
E05000251,Askew,-1.292198143,-8.291163943
E05000252,Avonmore and Brook Green,16.17293916,-14.25521173
E05000253,College Park and Old Oak,7.965315419,9.341350247
E05000254,Fulham Broadway,11.42959621,-6.555927707
E05000255,Fulham Reach,2.865886938,1.955202979
E05000256,Hammersmith Broadway,15.66165842,-11.30511203
E05000257,Munster,-0.528366746,-8.711865409
E05000258,North End,10.44059717,-2.108464812
E05000259,Palace Riverside,-0.349805853,19.81122977
E05000260,Parsons Green and Walham,6.39964663,5.974698782
E05000261,Ravenscourt Park,1.912073338,-6.176629928
E05000262,Sands End,-2.673782313,2.396838213
E05000263,Shepherd's Bush Green,12.82950373,4.191776727
E05000264,Town,6.097300087,-11.3459396
E05000265,Wormholt and White City,-3.83930678,2.846145554
E05000266,Alexandra,-3.68221976,12.26779558
E05000267,Bounds Green,8.088572033,5.459746404
E05000268,Bruce Grove,5.131855503,-6.226819221
E05000269,Crouch End,-2.808730193,-3.387376641
E05000270,Fortis Green,-4.655927397,7.103737189
E05000271,Harringay,11.20861419,10.60463349
E05000272,Highgate,1.280981095,7.479972074
E05000273,Hornsey,-3.017997775,-5.047785575
E05000274,Muswell Hill,-3.796599972,5.837665815
E05000275,Noel Park,16.35551058,-4.970416382
E05000276,Northumberland Park,2.628528595,-0.655872596
E05000277,St Ann's,1.090309816,3.678406849
E05000278,Seven Sisters,6.427616277,5.227788119
E05000279,Stroud Green,5.809626404,-0.220353851
E05000280,Tottenham Green,14.75272279,-2.527130752
E05000281,Tottenham Hale,6.288889003,4.262036132
E05000282,West Green,2.037020369,13.74416585
E05000283,White Hart Lane,-3.366299166,2.897179305
E05000284,Woodside,6.414416989,9.392589082
E05000285,Belmont,-12.95069734,-22.38648578
E05000286,Canons,-7.924141177,7.483413167
E05000287,Edgware,-6.322273839,-13.54286051
E05000288,Greenhill,5.638818809,-13.28874559
E05000289,Harrow on the Hill,-4.492423981,-7.774719125
E05000290,Harrow Weald,-7.126081265,-5.447289499
E05000291,Hatch End,-10.81107951,-20.82948502
E05000292,Headstone North,-7.625276607,-0.78899263
E05000293,Headstone South,-4.730900991,-9.160716491
E05000294,Kenton East,-8.827080718,-12.14693401
E05000295,Kenton West,-6.074416779,-16.88195832
E05000296,Marlborough,0.498739223,-15.62612059
E05000297,Pinner,-13.828939,-18.71431459
E05000298,Pinner South,-11.49417273,-7.816465168
E05000299,Queensbury,-8.14880579,-14.57812006
E05000300,Rayners Lane,-4.228528725,-14.9721907
E05000301,Roxbourne,-5.320706877,-14.89761727
E05000302,Roxeth,-5.492782979,-8.489174099
E05000303,Stanmore Park,-12.1346052,-9.632063528
E05000304,Wealdstone,-3.401497238,-32.73819615
E05000305,West Harrow,-4.433612826,-10.67413745
E05000306,Brooklands,-6.268936629,-6.647226755
E05000307,Cranham,-10.60328327,7.646466683
E05000308,Elm Park,-8.286574777,9.636916609
E05000309,Emerson Park,-13.00730819,-17.03778476
E05000310,Gooshays,-8.455170892,19.01273492
